Gene_pair,GeneID_1,GeneSymbol_1,GeneID_2,GeneSymbol_2,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ERBB2IP--RP11-434D9.1,,ERBB2IP,,RP11-434D9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERBB2IP--ZNF131,,ERBB2IP,,ZNF131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERC1--BCAT1,ENSG00000082805,ERC1,ENSG00000082805,BCAT1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERF--MYADM,ENSG00000105722,ERF,ENSG00000105722,MYADM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERG--ARHGAP24,ENSG00000157554,ERG,ENSG00000157554,ARHGAP24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERG--WDR4,ENSG00000157554,ERG,ENSG00000157554,WDR4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERGIC1--CHD9,ENSG00000113719,ERGIC1,ENSG00000113719,CHD9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ERGIC3--ALDH1A1,ENSG00000125991,ERGIC3,ENSG00000125991,ALDH1A1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERICH1--DLGAP2,ENSG00000104714,ERICH1,ENSG00000104714,DLGAP2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERICH1--FBXO25,ENSG00000104714,ERICH1,ENSG00000104714,FBXO25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERN1--RP11-118B18.1,ENSG00000178607,ERN1,ENSG00000178607,RP11-118B18.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERN1--TEX2,ENSG00000178607,ERN1,ENSG00000178607,TEX2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERP29--ATP13A3,ENSG00000089248,ERP29,ENSG00000089248,ATP13A3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERP44--FURIN,ENSG00000023318,ERP44,ENSG00000023318,FURIN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESF1--GPR39,ENSG00000089048,ESF1,ENSG00000089048,GPR39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESYT2--MAP3K1,ENSG00000117868,ESYT2,ENSG00000117868,MAP3K1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ETAA1--AC016735.2,ENSG00000143971,ETAA1,ENSG00000143971,AC016735.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ETF1--HSPA4,ENSG00000120705,ETF1,ENSG00000120705,HSPA4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
